farm_additional_housing_system_id	farm_animal_housing_category_id	substance_id	reduction_factor
5	208	17	0
5	209	17	0
5	210	17	0
5	211	17	0
5	212	17	0
5	213	17	0
5	214	17	0
5	215	17	0
5	216	17	0
5	217	17	0
5	218	17	0
5	219	17	0
6	126	17	0
6	127	17	0
6	128	17	0
6	129	17	0
6	130	17	0
6	131	17	0
6	132	17	0
6	133	17	0
6	134	17	0
6	135	17	0
6	136	17	0
6	137	17	0
6	138	17	0
6	139	17	0
6	140	17	0
6	141	17	0
6	142	17	0
6	143	17	0
6	144	17	0
6	145	17	0
6	146	17	0
6	147	17	0
6	148	17	0
6	149	17	0
6	150	17	0
6	151	17	0
6	152	17	0
6	153	17	0
6	154	17	0
6	155	17	0
6	156	17	0
6	157	17	0
6	158	17	0
6	159	17	0
6	160	17	0
6	161	17	0
6	162	17	0
6	163	17	0
6	164	17	0
6	165	17	0
6	166	17	0
6	167	17	0
6	168	17	0
6	169	17	0
6	170	17	0
6	171	17	0
6	172	17	0
6	173	17	0
6	174	17	0
6	175	17	0
6	176	17	0
6	177	17	0
6	178	17	0
6	179	17	0
6	180	17	0
6	181	17	0
6	182	17	0
6	183	17	0
6	184	17	0
6	185	17	0
6	186	17	0
6	187	17	0
6	188	17	0
6	189	17	0
6	190	17	0
6	191	17	0
6	192	17	0
6	193	17	0
6	194	17	0
6	195	17	0
6	196	17	0
6	197	17	0
6	198	17	0
6	199	17	0
6	200	17	0
6	201	17	0
6	202	17	0
6	203	17	0
6	204	17	0
6	205	17	0
6	206	17	0
6	207	17	0
6	208	17	0
6	209	17	0
6	210	17	0
6	211	17	0
6	212	17	0
6	213	17	0
6	214	17	0
6	215	17	0
6	216	17	0
6	217	17	0
7	177	17	0
7	178	17	0
7	179	17	0
7	180	17	0
7	181	17	0
7	183	17	0
7	184	17	0
7	185	17	0
7	186	17	0
7	187	17	0
7	188	17	0
8	177	17	0
8	178	17	0
8	179	17	0
8	180	17	0
8	181	17	0
8	183	17	0
8	184	17	0
8	185	17	0
8	186	17	0
8	187	17	0
8	188	17	0
9	126	17	0
9	127	17	0
9	128	17	0
9	129	17	0
9	130	17	0
9	131	17	0
9	132	17	0
9	133	17	0
9	134	17	0
9	135	17	0
9	136	17	0
9	137	17	0
9	138	17	0
9	139	17	0
9	140	17	0
9	141	17	0
9	142	17	0
9	143	17	0
9	144	17	0
9	145	17	0
9	146	17	0
9	147	17	0
9	148	17	0
9	149	17	0
9	150	17	0
9	151	17	0
9	152	17	0
9	153	17	0
9	154	17	0
9	155	17	0
9	156	17	0
9	157	17	0
9	158	17	0
9	159	17	0
9	160	17	0
10	126	17	0
10	127	17	0
10	128	17	0
10	129	17	0
10	130	17	0
10	131	17	0
10	132	17	0
10	133	17	0
10	134	17	0
10	135	17	0
10	136	17	0
10	137	17	0
10	138	17	0
10	139	17	0
10	140	17	0
10	141	17	0
10	142	17	0
10	143	17	0
10	144	17	0
10	145	17	0
10	146	17	0
10	147	17	0
10	148	17	0
10	149	17	0
10	150	17	0
10	151	17	0
10	152	17	0
10	153	17	0
10	154	17	0
10	155	17	0
10	156	17	0
10	157	17	0
10	158	17	0
10	159	17	0
10	160	17	0
11	126	17	0
11	127	17	0
11	128	17	0
11	129	17	0
11	130	17	0
11	131	17	0
11	132	17	0
11	133	17	0
11	134	17	0
11	135	17	0
11	136	17	0
11	137	17	0
11	138	17	0
11	139	17	0
11	140	17	0
11	141	17	0
11	142	17	0
11	143	17	0
11	144	17	0
11	145	17	0
11	146	17	0
11	147	17	0
11	148	17	0
11	149	17	0
11	150	17	0
11	151	17	0
11	152	17	0
11	153	17	0
11	154	17	0
11	155	17	0
11	156	17	0
11	157	17	0
11	158	17	0
11	159	17	0
11	160	17	0
11	167	17	0
11	168	17	0
11	169	17	0
11	170	17	0
11	171	17	0
11	172	17	0
11	173	17	0
11	174	17	0
11	175	17	0
11	176	17	0
11	177	17	0
11	178	17	0
11	179	17	0
11	180	17	0
11	181	17	0
11	182	17	0
11	183	17	0
11	184	17	0
11	185	17	0
11	186	17	0
11	187	17	0
11	188	17	0
12	180	17	0.1
12	181	17	0.1
12	182	17	0.1
12	183	17	0.1
12	184	17	0.1
12	186	17	0
12	187	17	0
12	188	17	0.1
13	180	17	0.15
13	181	17	0.1
13	182	17	0.25
13	183	17	0.15
13	184	17	0.1
13	186	17	0
13	187	17	0
13	188	17	0.25
14	126	17	0
14	127	17	0
14	128	17	0
14	129	17	0
14	130	17	0
14	131	17	0
14	132	17	0
14	133	17	0
14	134	17	0
14	135	17	0
14	136	17	0
14	137	17	0
14	138	17	0
14	139	17	0
14	140	17	0
14	141	17	0
14	142	17	0
14	143	17	0
14	144	17	0
14	145	17	0
14	146	17	0
14	147	17	0
14	148	17	0
14	149	17	0
14	150	17	0
14	151	17	0
14	152	17	0
